tipo,codigo,descripcion
Capitulo 3 Demarcaciones en el piso,dmc-3-19 ,zona de no adelantar curva horizontal 
Capitulo 3 Demarcaciones en el piso,dmc-3-21,linea de borde de pavimento caso 2 
Capitulo 3 Demarcaciones en el piso,dmc-3-22,linea de borde de pavimento caso 3 
Capitulo 3 Demarcaciones en el piso,dmc-3-24  ,linea de borde de pavimento caso 5 
Capitulo 3 Demarcaciones en el piso,dmc-3-26 ,lineas segmentadas de borde de calzada
Capitulo 3 Demarcaciones en el piso,f3-47,"flecha de incorporación
a carriles de tránsito exclusivo "
Capitulo 3 Demarcaciones en el piso,f3-33,cruce cebra
Capitulo 3 Demarcaciones en el piso,f3-30,cruce controlado por señal ceda el paso
Capitulo 3 Demarcaciones en el piso,f3-28,cruce controlado por señal pare
Capitulo 3 Demarcaciones en el piso,f3-46,dimensiones para demarcación con flechas
Capitulo 3 Demarcaciones en el piso,f3-39,cruce escolar
Capitulo 3 Demarcaciones en el piso,f3-32,cruce con restricción de bloqueo
Capitulo 3 Demarcaciones en el piso,f3-31,cruce regulado por semáforo
Capitulo 3 Demarcaciones en el piso,f3-44,demarcación de estacionamiento de taxis
Capitulo 3 Demarcaciones en el piso,f3-48," ejemplo de demarcacion con
flecha de frente y salida"
Capitulo 3 Demarcaciones en el piso,f3-52,demarcación máxima velocidad
Capitulo 3 Demarcaciones en el piso,f3-53,demarcación prohibido parquear
Capitulo 3 Demarcaciones en el piso,f3-54,"demarcación de estacionamiento para
personas con discapacidad"
Capitulo 3 Demarcaciones en el piso,f3-55,dimensiones símbolo ciclorruta 
Capitulo 3 Demarcaciones en el piso,f3-58, dimensiones demarcación cruce peatonal
Capitulo 3 Demarcaciones en el piso,f3-64,dimensiones de achurado
Capitulo 3 Demarcaciones en el piso,f3-65,demarcación de carriles exclusivos solo bus
Capitulo 3 Demarcaciones en el piso,f3-66,reductor de velocidad
Capitulo 5 Demarcaciones en el piso,etp-52,estoperol
Capitulo 5 Demarcaciones en el piso,by-51,boya
Capitulo 5 Demarcaciones en el piso,tch-53,tachón
Capitulo 5 Demarcaciones en el piso,bdt-181,bordillo-traspasable
Capitulo 5 Demarcaciones en el piso,bnt-182,bordillo-no-traspasable
Capitulo 5 Demarcaciones en el piso,dlc-3,delineador-circular
Capitulo 5 Demarcaciones en el piso,dlr-2d,delineador-rectangular
Capitulo 5 Demarcaciones en el piso,dld-6b,delineador-doble
Capitulo 5 Demarcaciones en el piso,cps-59,captafaros
Capitulo 5 Demarcaciones en el piso,mc-12,marcador-cilindrico
Capitulo 5 Demarcaciones en el piso,md-10,marcador-doble
Capitulo 5 Demarcaciones en el piso,ms-11,marcador-sencillo
Capitulo 5 Demarcaciones en el piso,hv-13,hito-vertice
Capitulo 5 Demarcaciones en el piso,hl-14,hito-luminoso
Capitulo 5 Demarcaciones en el piso,lit-15,luces-intermirentes
Capitulo 5 Demarcaciones en el piso,dlt-17a,delineador-tubular
Capitulo 5 Demarcaciones en el piso,tpv-23,tope vehicular
Capitulo 5 Demarcaciones en el piso,lmg-24,limitador galibo
Capitulo 5 Demarcaciones en el piso,rst-26,resalto-trapezoidal
Capitulo 5 Demarcaciones en el piso,rsc-27,resalto-circular
Capitulo 5 Demarcaciones en el piso,rsp-28,resalto-portatil
Capitulo 5 Demarcaciones en el piso,rsc-30,resalto-cojin
Capitulo 5 Demarcaciones en el piso,bnr-32,bandas-resaltadas
Capitulo 5 Demarcaciones en el piso,bbr-33,bandas-bajo-relieve
Capitulo 5 Demarcaciones en el piso,mts-35,mallas-tabiques
